iter	Passed	Remaining
548	28128	23107
549	28178	23055
550	28234	23007
551	28282	22953
552	28329	22899
553	28372	22841
554	28424	22790
555	28480	22743
556	28524	22686
557	28557	22621
558	28603	22565
559	28660	22518
560	28711	22467
561	28770	22422
562	28814	22365
563	28872	22320
564	28921	22267
565	28965	22210
566	29009	22153
567	29058	22100
568	29112	22052
569	29164	22001
570	29206	21943
571	29252	21888
572	29309	21841
573	29362	21791
574	29401	21731
575	29441	21672
576	29490	21619
577	29545	21571
578	29591	21516
579	29639	21463
580	29682	21405
581	29736	21356
582	29790	21307
583	29842	21258
584	29886	21201
585	29948	21158
586	29989	21100
587	30048	21054
588	30096	21000
589	30137	20943
590	30177	20884
591	30224	20830
592	30259	20768
593	30302	20711
594	30347	20656
595	30393	20602
596	30441	20549
597	30482	20491
598	30517	20429
599	30564	20376
600	30615	20325
601	30649	20263
602	30688	20204
603	30736	20151
604	30774	20092
605	30814	20034
606	30851	19974
607	30893	19918
608	30945	19868
609	30984	19809
610	31032	19757
611	31063	19693
612	31105	19637
613	31146	19580
614	31246	19560
615	31299	19511
616	31337	19452
617	31383	19399
618	31420	19339
619	31459	19281
620	31494	19221
621	31545	19170
622	31585	19113
623	31620	19053
624	31661	18996
625	31702	18940
626	31741	18882
627	31789	18830
628	31854	18788
629	31901	18735
630	31947	18682
631	31988	18626
632	32025	18567
633	32065	18511
634	32101	18452
635	32139	18394
636	32187	18342
637	32231	18288
638	32275	18234
639	32313	18176
640	32342	18113
641	32381	18056
642	32418	17998
643	32456	17941
644	32490	17882
645	32524	17822
646	32567	17768
647	32598	17708
648	32641	17653
649	32679	17596
650	32714	17538
651	32758	17484
652	32798	17429
653	32842	17375
654	32881	17319
655	32916	17261
656	32954	17204
657	33004	17154
658	33048	17100
659	33088	17045
660	33124	16988
661	33162	16932
662	33216	16883
663	33259	16829
664	33301	16775
665	33338	16719
666	33385	16667
667	33431	16615
668	33469	16559
669	33512	16506
670	33554	16452
671	33602	16401
672	33642	16346
673	33686	16293
674	33730	16240
675	33792	16196
676	33841	16146
677	33893	16097
678	33929	16040
679	33976	15989
680	34031	15941
681	34074	15888
682	34132	15841
683	34188	15794
684	34235	15743
685	34284	15693
686	34334	15643
687	34380	15591
688	34423	15538
689	34472	15487
690	34522	15437
691	34557	15381
692	34591	15324
693	34633	15270
694	34673	15216
695	34714	15162
696	34754	15108
697	34797	15055
698	34834	15000
699	34875	14946
700	34916	14893
701	34956	14839
702	34992	14783
703	35027	14727
704	35075	14677
705	35109	14620
706	35150	14567
707	35192	14514
